,precision,recall,f1-score,support
0,0.7468354430379747,0.9833333333333333,0.8489208633093526,60.0
1,0.9460992907801419,0.9263888888888889,0.9361403508771929,720.0
2,0.8852040816326531,0.9253333333333333,0.9048239895697523,750.0
3,0.9094922737306843,0.9155555555555556,0.9125138427464009,450.0
4,0.9829984544049459,0.9636363636363636,0.973221117061974,660.0
5,0.9415692821368948,0.8952380952380953,0.9178193653376729,630.0
6,0.9090909090909091,1.0,0.9523809523809523,150.0
7,0.9774266365688488,0.9622222222222222,0.9697648376259799,450.0
8,0.9049676025917927,0.9311111111111111,0.9178532311062432,450.0
9,0.9895833333333334,0.9895833333333334,0.9895833333333334,480.0
10,1.0,0.9939393939393939,0.9969604863221885,660.0
11,0.9824120603015075,0.930952380952381,0.9559902200488998,420.0
12,0.9985486211901307,0.9971014492753624,0.9978245105148659,690.0
13,0.9986072423398329,0.9958333333333333,0.9972183588317107,720.0
14,0.8996655518394648,0.9962962962962963,0.945518453427065,270.0
15,1.0,0.9857142857142858,0.9928057553956835,210.0
16,0.9932885906040269,0.9866666666666667,0.9899665551839465,150.0
17,0.9969788519637462,0.9166666666666666,0.9551374819102749,360.0
18,0.9915254237288136,0.9,0.9435483870967742,390.0
19,0.4148936170212766,0.65,0.5064935064935064,60.0
20,0.6987951807228916,0.6444444444444445,0.6705202312138728,90.0
21,0.6736842105263158,0.7111111111111111,0.6918918918918919,90.0
22,0.967741935483871,0.75,0.8450704225352113,120.0
23,0.9113924050632911,0.96,0.935064935064935,150.0
24,0.9,0.9,0.9,90.0
25,0.825136612021858,0.94375,0.880466472303207,480.0
26,0.9030612244897959,0.9833333333333333,0.9414893617021277,180.0
27,0.5,0.4666666666666667,0.4827586206896552,60.0
28,0.9534883720930233,0.82,0.8817204301075269,150.0
29,0.925531914893617,0.9666666666666667,0.9456521739130435,90.0
30,0.9307692307692308,0.8066666666666666,0.8642857142857143,150.0
31,0.9817518248175182,0.9962962962962963,0.9889705882352942,270.0
32,0.967741935483871,1.0,0.9836065573770492,60.0
33,0.9900990099009901,0.9523809523809523,0.970873786407767,210.0
34,0.8,1.0,0.8888888888888888,120.0
35,0.9723756906077348,0.9025641025641026,0.9361702127659575,390.0
36,0.916030534351145,1.0,0.9561752988047809,120.0
37,0.9629629629629629,0.8666666666666667,0.9122807017543859,60.0
38,0.9751461988304093,0.9666666666666667,0.9708879184861717,690.0
39,1.0,0.8333333333333334,0.9090909090909091,90.0
40,0.7478260869565218,0.9555555555555556,0.8390243902439024,90.0
41,0.7714285714285715,0.9,0.8307692307692308,60.0
42,1.0,0.7222222222222222,0.8387096774193549,90.0
accuracy,0.9383214568487728,0.9383214568487728,0.9383214568487728,0.9383214568487728
macro avg,0.9010267713418743,0.9045092417225886,0.8992756747098754,12630.0
weighted avg,0.9425921578478247,0.9383214568487728,0.9390058890877575,12630.0
